,time,open,high,low,close,tick_volume,spread,real_volume
25911,2020-05-19 06:15:00,1.09028,1.09044,1.09015,1.0904,4171,16,625650000
25912,2020-05-19 06:30:00,1.0904,1.09081,1.09033,1.09079,3704,16,555600000
25913,2020-05-19 06:45:00,1.09079,1.09087,1.09074,1.09074,2982,16,447300000
25914,2020-05-19 07:00:00,1.09074,1.09118,1.09074,1.09118,3473,16,520950000
25915,2020-05-19 07:15:00,1.09118,1.09124,1.09105,1.09105,3259,16,488850000
25916,2020-05-19 07:30:00,1.09105,1.09127,1.09087,1.09093,2660,16,399000000
25917,2020-05-19 07:45:00,1.09093,1.09119,1.09087,1.09088,2570,16,385500000
25918,2020-05-19 08:00:00,1.09088,1.09099,1.09068,1.09074,3328,16,499200000
25919,2020-05-19 08:15:00,1.09074,1.0912,1.09074,1.09118,2884,16,432600000
25920,2020-05-19 08:30:00,1.09118,1.09141,1.09116,1.0913,3556,16,533400000
25921,2020-05-19 08:45:00,1.0913,1.09148,1.0907499999999999,1.09147,5721,16,858150000
25922,2020-05-19 09:00:00,1.09146,1.0927,1.0913599999999999,1.09239,9582,16,1437300000
25923,2020-05-19 09:15:00,1.09239,1.09359,1.09222,1.09354,9646,16,1446900000
25924,2020-05-19 09:30:00,1.09354,1.09392,1.09333,1.09343,9519,16,1427850000
25925,2020-05-19 09:45:00,1.09343,1.09421,1.09324,1.09394,8926,16,1338900000
25926,2020-05-19 10:00:00,1.09394,1.09438,1.09326,1.09374,10887,16,1633050000
25927,2020-05-19 10:15:00,1.09374,1.09445,1.0934,1.09345,9944,16,1491600000
25928,2020-05-19 10:30:00,1.09345,1.09365,1.09298,1.0935,10547,16,1582050000
25929,2020-05-19 10:45:00,1.0935,1.09412,1.09247,1.09285,11545,16,1731750000
25930,2020-05-19 11:00:00,1.09285,1.09336,1.09261,1.09326,9766,16,1464900000
25931,2020-05-19 11:15:00,1.09326,1.09336,1.0921,1.0921,9595,16,1439250000
25932,2020-05-19 11:30:00,1.0921,1.09344,1.09207,1.0934,11566,16,1734900000
25933,2020-05-19 11:45:00,1.0934,1.09526,1.09338,1.09507,11670,16,1750500000
25934,2020-05-19 12:00:00,1.09507,1.09556,1.09482,1.09496,9873,16,1480950000
25935,2020-05-19 12:15:00,1.09496,1.09546,1.09485,1.09531,8474,16,1271100000
25936,2020-05-19 12:30:00,1.09531,1.09549,1.09485,1.09523,8899,16,1334850000
25937,2020-05-19 12:45:00,1.09523,1.09525,1.0944099999999999,1.09459,7415,16,1112250000
25938,2020-05-19 13:00:00,1.0946,1.09534,1.0943,1.09524,7561,16,1134150000
25939,2020-05-19 13:15:00,1.09524,1.09565,1.09501,1.0955,7791,16,1168650000
25940,2020-05-19 13:30:00,1.0955,1.09682,1.09536,1.09666,7910,16,1186500000
25941,2020-05-19 13:45:00,1.09666,1.09753,1.0965799999999999,1.0967500000000001,9212,16,1381800000
25942,2020-05-19 14:00:00,1.0967500000000001,1.0968,1.09589,1.09606,7982,16,1197300000
25943,2020-05-19 14:15:00,1.09606,1.09634,1.09558,1.0957,7929,16,1189350000
25944,2020-05-19 14:30:00,1.0957,1.09617,1.09565,1.09578,7868,16,1180200000
25945,2020-05-19 14:45:00,1.09578,1.09578,1.09428,1.09476,9123,16,1368450000
25946,2020-05-19 15:00:00,1.09476,1.09519,1.09446,1.09488,8920,16,1338000000
25947,2020-05-19 15:15:00,1.09488,1.09523,1.09414,1.0946,9673,16,1450950000
25948,2020-05-19 15:30:00,1.0946,1.09465,1.09417,1.09456,8693,16,1303950000
25949,2020-05-19 15:45:00,1.09456,1.09512,1.09424,1.095,9791,16,1468650000
25950,2020-05-19 16:00:00,1.095,1.09501,1.09323,1.09389,11288,16,1693200000
25951,2020-05-19 16:15:00,1.09389,1.09394,1.09314,1.09322,10191,16,1528650000
25952,2020-05-19 16:30:00,1.09322,1.09358,1.09254,1.09303,11733,16,1759950000
25953,2020-05-19 16:45:00,1.09303,1.0935,1.09267,1.09333,11306,16,1695900000
25954,2020-05-19 17:00:00,1.09333,1.094,1.09285,1.09355,10640,16,1596000000
25955,2020-05-19 17:15:00,1.09355,1.09419,1.09304,1.09374,11227,16,1684050000
25956,2020-05-19 17:30:00,1.09374,1.0942,1.09338,1.0935,10429,16,1564350000
25957,2020-05-19 17:45:00,1.0935,1.09488,1.09338,1.09473,11843,16,1776450000
25958,2020-05-19 18:00:00,1.09473,1.09481,1.09338,1.09344,10191,16,1528650000
25959,2020-05-19 18:15:00,1.09344,1.0939,1.09271,1.09278,8799,16,1319850000
25960,2020-05-19 18:30:00,1.09278,1.09291,1.09235,1.09289,8517,16,1277550000
25961,2020-05-19 18:45:00,1.09289,1.09371,1.09277,1.09358,7897,16,1184550000
25962,2020-05-19 19:00:00,1.09358,1.0937000000000001,1.0931,1.0935,6613,16,991950000
25963,2020-05-19 19:15:00,1.09351,1.0937000000000001,1.09311,1.09345,5571,16,835650000
25964,2020-05-19 19:30:00,1.09345,1.09345,1.09271,1.09278,5384,16,807600000
25965,2020-05-19 19:45:00,1.09278,1.0931,1.09276,1.09286,5669,16,850350000
25966,2020-05-19 20:00:00,1.09287,1.093,1.0925799999999999,1.09299,4437,16,665550000
25967,2020-05-19 20:15:00,1.09299,1.09344,1.09298,1.0931899999999999,4684,16,702600000
25968,2020-05-19 20:30:00,1.0931899999999999,1.09351,1.09313,1.09349,3906,16,585900000
25969,2020-05-19 20:45:00,1.09349,1.09399,1.09331,1.0939,4611,16,691650000
25970,2020-05-19 21:00:00,1.09389,1.0944,1.09366,1.09436,5706,16,855900000
25971,2020-05-19 21:15:00,1.09436,1.09533,1.09434,1.09527,6671,16,1000650000
25972,2020-05-19 21:30:00,1.09526,1.0953,1.09483,1.09495,4683,16,702450000
25973,2020-05-19 21:45:00,1.09495,1.09519,1.0945,1.09456,6184,16,927600000
25974,2020-05-19 22:00:00,1.09455,1.09469,1.0937000000000001,1.0937999999999999,8169,16,1225350000
25975,2020-05-19 22:15:00,1.0937999999999999,1.09399,1.09343,1.09358,6118,16,917700000
25976,2020-05-19 22:30:00,1.09359,1.09379,1.09296,1.09349,7391,16,1108650000
25977,2020-05-19 22:45:00,1.09349,1.09355,1.09245,1.09249,8003,16,1200450000
25978,2020-05-19 23:00:00,1.09249,1.09268,1.09179,1.09225,4856,16,728400000
25979,2020-05-19 23:15:00,1.09225,1.09235,1.09212,1.0922,2189,16,328350000
25980,2020-05-19 23:30:00,1.0922,1.09237,1.0921,1.09223,2010,16,301500000
25981,2020-05-19 23:45:00,1.09222,1.09241,1.09213,1.09217,2327,16,349050000
25982,2020-05-20 00:00:00,1.09217,1.09261,1.09165,1.0923,895,16,134250000
25983,2020-05-20 00:15:00,1.0923,1.09232,1.0919699999999999,1.09202,762,16,114300000
25984,2020-05-20 00:30:00,1.09202,1.09208,1.09183,1.09198,1387,16,208050000
25985,2020-05-20 00:45:00,1.09198,1.0921,1.09194,1.09204,989,16,148350000
25986,2020-05-20 01:00:00,1.09201,1.0922,1.09181,1.09205,3655,16,548250000
25987,2020-05-20 01:15:00,1.09205,1.09224,1.092,1.09222,1830,16,274500000
25988,2020-05-20 01:30:00,1.09222,1.09243,1.0921,1.09236,3162,16,474300000
25989,2020-05-20 01:45:00,1.09236,1.09242,1.0923,1.09236,1190,16,178500000
25990,2020-05-20 02:00:00,1.09236,1.09243,1.0922,1.09236,2206,16,330900000
25991,2020-05-20 02:15:00,1.09236,1.09254,1.09232,1.09252,2052,16,307800000
25992,2020-05-20 02:30:00,1.09252,1.09266,1.0924800000000001,1.09264,2183,16,327450000
25993,2020-05-20 02:45:00,1.09264,1.09267,1.09251,1.09252,1448,16,217200000
25994,2020-05-20 03:00:00,1.09252,1.0930900000000001,1.09252,1.09304,3110,16,466500000
25995,2020-05-20 03:15:00,1.09304,1.09312,1.09293,1.09304,2157,16,323550000
25996,2020-05-20 03:30:00,1.09304,1.09334,1.09304,1.09332,2277,16,341550000
25997,2020-05-20 03:45:00,1.09332,1.09387,1.09327,1.09375,2847,16,427050000
25998,2020-05-20 04:00:00,1.09375,1.09387,1.09363,1.09368,2701,16,405150000
25999,2020-05-20 04:15:00,1.09368,1.09442,1.0936,1.0941,3347,16,502050000
26000,2020-05-20 04:30:00,1.0941,1.09422,1.09391,1.09416,4137,16,620550000
26001,2020-05-20 04:45:00,1.09416,1.09438,1.09404,1.0943100000000001,4075,16,611250000
26002,2020-05-20 05:00:00,1.0943100000000001,1.09444,1.09395,1.09398,4330,16,649500000
26003,2020-05-20 05:15:00,1.09398,1.09398,1.09358,1.09379,4473,16,670950000
26004,2020-05-20 05:30:00,1.09379,1.09403,1.09373,1.09392,3793,16,568950000
26005,2020-05-20 05:45:00,1.09392,1.09403,1.09351,1.09364,3477,16,521550000
26006,2020-05-20 06:00:00,1.09364,1.09397,1.09364,1.09397,3318,16,497700000
26007,2020-05-20 06:15:00,1.09397,1.09432,1.09393,1.0943,2513,16,376950000
26008,2020-05-20 06:30:00,1.0943,1.09461,1.0941,1.09413,3551,16,532650000
